,index,importance
2,volume,0.08883571140236284
104,"Features_bin_(202.477, 204.472]",0.07686830482758812
1,location_count,0.07633609659794978
0,location,0.0753350735496289
224,event_type_event_type 35,0.05095438344784571
196,sum_log,0.03848329846481928
87,"Features_bin_(168.565, 170.56]",0.02400393461269247
43,"Features_bin_(80.793, 82.788]",0.0236417018681688
203,event_type_event_type 15,0.015845030068720022
29,"Features_bin_(52.865, 54.86]",0.01529271565461513
39,"Features_bin_(72.813, 74.808]",0.013542534257130787
261,sum_resource,0.012552690804376829
250,sum_events,0.012141176421692573
118,"Features_bin_(230.404, 232.399]",0.011834629303767797
38,"Features_bin_(70.819, 72.813]",0.011146580675711136
253,resource_type_resource_type 2,0.010238976311180452
262,severity_type_severity_type 1,0.01000348454069485
223,event_type_event_type 34,0.009616357962498915
245,event_type_event_type 54,0.009477677052640503
80,"Features_bin_(154.601, 156.596]",0.009350184028474822
99,"Features_bin_(192.503, 194.497]",0.009254188229445908
147,"Features_bin_(288.254, 290.249]",0.009141881542806846
114,"Features_bin_(222.425, 224.42]",0.008385587291570608
103,"Features_bin_(200.482, 202.477]",0.008238292533226879
101,"Features_bin_(196.492, 198.487]",0.008224707506598523
257,resource_type_resource_type 6,0.007999482418180704
158,"Features_bin_(310.197, 312.192]",0.007460927512252411
100,"Features_bin_(194.497, 196.492]",0.006747747282489195
42,"Features_bin_(78.798, 80.793]",0.006015364555461938
139,"Features_bin_(272.295, 274.29]",0.005991416838948883
69,"Features_bin_(132.658, 134.653]",0.005972557524393751
105,"Features_bin_(204.472, 206.466]",0.005761608041234133
107,"Features_bin_(208.461, 210.456]",0.005750826282852313
148,"Features_bin_(290.249, 292.244]",0.005701457051206595
88,"Features_bin_(170.56, 172.554]",0.005552354173064674
36,"Features_bin_(66.829, 68.824]",0.005390985488637869
190,"Features_bin_(374.031, 376.026]",0.00526471352987544
259,resource_type_resource_type 8,0.00516655448293975
199,event_type_event_type 11,0.0050714585126006954
112,"Features_bin_(218.435, 220.43]",0.005051239724947936
265,severity_type_severity_type 4,0.00497051064701019
116,"Features_bin_(226.415, 228.409]",0.004883361252665587
37,"Features_bin_(68.824, 70.819]",0.0047468437370718755
156,"Features_bin_(306.207, 308.202]",0.0046541288147659956
